"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"24",23,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,20,5,"nan",1,"90% of the time",90,"Although Helen didn't explicitly mention locking her car, the fact that she mentioned parking it and specifically pointed out an issue with one of its lights suggests a high likelihood that she routinely takes precautions like locking her vehicle.",NA,"high"
"25",24,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,21,3,"nan",1,"90% of the time",90,"The fact that Gary mentioned specifically about picking the toppings suggests it is not a regular occurrence for someone else to pick them. While some people might have their favorite standard order and always get the same thing, based on common human behavior we can assume there's still room for variation 10% of the time when eating pizza with others or trying something new.",NA,"high"
"26",25,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,21,5,"nan",1,"80% of the time",80,"The fact that Gary mentioned ordering pizza but did not mention anything about choosing toppings could suggest that it is something he typically does himself. However, since this detail was left out in the conversation with Stephanie, there's still a chance (20%) that someone else might be deciding on the toppings at least occasionally.",NA,"high"
"27",26,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,22,3,"nan",1,"90% of the time",90,"The fact that Julia mentioned she ""rinsed"" the dishes suggests that this is something she normally does. Additionally, since Julia wants to avoid annoying her roommates by leaving dirty dishes, it's likely she takes care to thoroughly clean them most of the time.",NA,"high"
"28",27,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,22,5,"nan",1,"30% of the time",30,"The fact that Julia mentioned specifically that she ""polished"" the dishes could indicate that it is not part of her usual routine when washing dishes. This might mean that she typically only does a quick rinse instead of thoroughly cleaning and polishing them, which she did on this occasion for some reason.",NA,"high"
"29",28,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,23,3,"nan",1,"100% of the time",100,"The way Emma mentioned ""checked them out"" as if it is a normal procedure supports this. If she didn't always check out books, there would be no need for her to mention that fact specifically.",NA,"high"
"30",29,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,23,5,"nan",1,"90% of the time",90,"The fact that Emma mentions she ""got"" some books from the library implies that this is a regular occurrence for her. However, since it's not completely certain whether or not checking out books was part of what happened this time, I would rate my answer at 90% instead of 100%.",NA,"high"
"31",30,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,24,3,"nan",1,"90% of the time",90,"The fact that Logan mentioned using detergent seems like a small detail to share and may indicate that he has forgotten or neglected this step in some instances before. However, it is still likely that he remembers to use detergent most of the time since its usage is crucial for clean laundry.",NA,"high"
"32",31,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,24,5,"nan",1,"90% of the time",90,"Although it is very likely that Logan uses detergent most of the time, he specifically mentioned adding fabric softener this time. This small detail makes me assume that using only detergent might be his usual routine for about 90% of his laundry loads.",NA,"high"
"33",32,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,3,3,"AI",1,"95% of the time",95,"Lucy mentioning that Jim threw the can away implies that this is a common occurrence. It seems unusual enough for her to bring it up in conversation with Carl later on, suggesting that it's not always done every single time. However, since it was mentioned as something that did happen today, we should assume that it happens most of the time.",NA,"high"
"34",33,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,3,5,"AI",1,"30% of the time",30,"The fact that Lucy specifically mentioned Jim adding medication to the dog's food suggests that this is not a common occurrence. This leads me to believe that he usually feeds the dog without needing to add any extra medication, but does so occasionally when required.",NA,"high"
"35",34,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,4,3,"nan",1,"95% of the time",95,"The fact that Don mentioned Jane buying a ticket suggests it's not an automatic assumption; however, since Jane takes the subway all the time, it is highly likely she purchases a ticket almost every single time. It seems unusual for Don to mention this, indicating that maybe Jane didn't pay in some other instances they traveled together. Nonetheless, given Jane's frequent use of public transportation and needing to purchase tickets, I would assume she buys one 95% of the time.",NA,"high"
"36",35,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,4,5,"nan",1,"100% of the time",100,"The statement about Jane nearly falling off the platform does not provide any information regarding her buying a ticket. It is safe to assume that she purchases a ticket every time she takes the subway, as required by transit regulations and common sense.",NA,"high"
"37",36,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,5,3,"AI",1,"100% of the time",100,"The fact that Annie felt it necessary to mention this detail about Rick closing the fuel cap suggests that he always does this action every single time. It is likely a standard procedure for him and most other drivers, making its mention unusual but not remarkable enough to raise suspicion otherwise.",NA,"high"
"38",37,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,5,5,"AI",1,"95% of the time",95,"Although it's an action that seems too mundane to mention, Annie mentioned it as if it was noteworthy. This suggests that Rick must have forgotten this step only rarely.",NA,"high"
"39",38,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,7,3,"AI",1,"95% of the time",95,"Rachel mentioning that she saw Brian get off at his usual stop suggests it is a common occurrence. The fact that this detail was highlighted indicates that getting off at his own stop is not something unusual for Brian's daily train commute, even though there might be exceptions (e.g., emergencies) on rare occasions when he doesn't get off at his usual stop.",NA,"high"
"40",39,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,7,5,"AI",1,"90% of the time",90,"The fact that Rachel mentioned seeing Brian on the train and then him being late for work indicates that it's a regular occurrence. However, since she did specify ""running late,"" we can assume that he still gets off at his stop most of the time but occasionally may be delayed.",NA,"high"
"41",40,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,8,3,"AI",1,"95% of the time",95,"Dustin mentioning that Laura took her house keys with her is not particularly remarkable since people generally always take their keys while leaving home. Therefore, it suggests she does this almost every time when getting ready for work in the morning.",NA,"high"
"42",41,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,8,5,"AI",1,"95% of the time",95,"Dustin mentioning that Laura was ""just"" getting ready to leave with him indicates that she does this almost every working day. However, it is slightly unusual that he mentioned her layers of clothing which makes me think there might be something special about them on that particular day (e.g., they were unusually thick or colorful), hence my answer isn't 100%.",NA,"high"
"43",42,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,9,3,"nan",1,"95% of the time",95,"The fact that Sarah mentioned specifically about Bruce getting examined implies it's not a routine visit. However, since Bruce goes to the medical practice every few years, it is likely he gets checked by the doctor during most visits, making it 95%.",NA,"high"
"44",43,"2024-06-17_19-47_mixtral_t-0.6_few_shot_High_fr","mixtral","few_shot",0.6,9,5,"nan",1,"50% of the time",50,"Sarah mentioning that Bruce was wearing a heart rate monitor is unusual and makes me assume that it's not something he does on every visit. However, I am speculating as there are many reasons someone might wear one during an exam or in their daily life; therefore, 50% represents the possibility of either event occurring with no way to truly know based on this context alone.",NA,"high"
"45",0,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,10,1,"AI",1,"100% of the time",100,"Shampoo is a standard product for washing and taking care of one's hair. Since Olivia pays special attention to her hair, it can be assumed that she uses shampoo every single time when washing her hair.",NA,"high"
"46",1,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,11,1,"AI",1,"90% of the time",90,"Skydiving involves jumping from an airplane in flight and is considered to be an extreme sport. While there are certain safety measures in place, it still requires a significant amount of courage. However, since Jared takes skydiving courses, it's likely that he jumps out of a plane most of the times when going skydiving as part of his training.",NA,"high"
"47",2,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,12,1,"AI",1,"90% of the time",90,"Based on the context, it is clear that Amy enjoys writing letters and sharing them with her loved ones. Hence, she would likely mail most of the letters she writes, making the answer 90%.",NA,"high"
"48",3,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,13,1,"nan",1,"80% of the time",80,"Although it is not specified how far away from his house the bus stop is, walking to it is still a common mode of transportation. However, there might be instances where Adam drives or takes another form of transport to reach the bus stop if he's running late or on days when the weather is bad.",NA,"high"
"49",4,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,14,1,"AI",1,"90% of the time",90,"Trying on clothes is a common and necessary part of clothes shopping, as it helps shoppers determine if an item fits well and suits them. Therefore, Esther likely tries something on during most of her clothing shopping trips.",NA,"high"
"50",5,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,15,1,"AI",1,"90% of the time",90,"Boiling pasta in water is a common method for preparing pasta and thus Nick probably does this most of the time. However, there might be some cases where he uses alternative methods (e.g., baking or frying) which are not accounted for here.",NA,"high"
"51",6,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,16,1,"AI",1,"90% of the time",90,"Pre-heating an oven is generally recommended for most cakes to ensure even cooking, so it's likely that Grace follows this practice in 90% of her baking instances.",NA,"high"
"52",7,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,17,1,"nan",1,"100% of the time",100,"Given that Greg travels frequently for work and personal reasons, it's very likely that he always brings his cellphone to stay connected during his trips. This is also supported by the fact that he used his phone at breakfast with Helen to talk about their travel experiences.",NA,"high"
"53",8,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,18,1,"nan",1,"90% of the time",90,"Based on the context provided, it is reasonable to assume that Sandy typically cuts her own hair using scissors as she has no formal training. While there might be a small chance she could use an electric trimmer or other tool instead, scissors are most likely her primary method for cutting her hair in 90% of instances.",NA,"high"
"54",9,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,19,1,"nan",1,"90% of the time",90,"Given that Henry frequently visits art exhibitions and last week he went to a photography exhibition, it is highly likely that he spends significant amount of his time looking at photographs during these visits. Therefore, I would estimate that he does so in 90% of such occasions.",NA,"high"
"55",10,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,2,1,"AI",1,"95% of the time",95,"It is normal for people to eat when they go to a restaurant, hence Mary probably usually does this.",NA,"high"
"56",11,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,20,1,"nan",1,"95% of the time",95,"Based on common practice and concern for personal property safety, most people remember to lock their cars when they park them. Therefore, Helen probably also does this almost all the time.",NA,"high"
"57",12,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,21,1,"AI",1,"80% of the time",80,"People typically have their favorite toppings on pizza and since Gary is a regular customer who orders from the same pizzeria, it's likely he chooses his preferred toppings most of the time.",NA,"high"
"58",13,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,22,1,"AI",1,"90% of the time",90,"While it's not explicitly stated that Julia rinses the dishes before washing, it is a common step in dishwashing. Therefore, we can assume she does this most of the time to ensure her dishes are properly cleaned and to maintain a pleasant living environment for her roommates.",NA,"high"
"59",14,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,23,1,"nan",1,"100% of the time",100,"When someone borrows books from a library, they need to check them out in order to be able to take them home. Hence, it is certain that Emma also follows this procedure every time she gets books from the library.",NA,"high"
"60",15,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,24,1,"nan",1,"99% of the time",99,"Doing laundry requires using detergent to clean clothes effectively, so it is highly likely that Logan uses it almost every time he does his laundry.",NA,"high"
"61",16,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,3,1,"AI",1,"90% of the time",90,"After opening a can of food for the dog, it's common to throw it away. Although there are some uncommon cases where people might save and reuse cans, but based on typical behavior Jim would likely dispose of the can after using it most of the time.",NA,"high"
"62",17,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,4,1,"AI",1,"95% of the time",95,"It is customary to buy a ticket each time one takes the subway for most transit systems. While there are some scenarios where this might not be necessary (e.g., if Jane has a monthly pass), given only this context, it's likely that she buys a ticket 95% of the time.",NA,"high"
"63",18,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,5,1,"AI",1,"100% of the time",100,"Closing the fuel cap is an essential step in refueling a vehicle to prevent gasoline from spilling and avoid damage. Hence Rick probably always closes it every single time after fueling up.",NA,"high"
"64",19,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,7,1,"nan",1,"90% of the time",90,"Based on the context provided, it seems that Brian takes the train most mornings and only ran into Rachel once last week, so he probably spends time chatting with her infrequently. The rest of the time, it is likely that he gets off at his usual stop as required for his commute to work.",NA,"high"
"65",20,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,8,1,"AI",1,"95% of the time",95,"It is a common practice to take one's house keys while leaving home. While it is possible that she might have forgotten them on some rare occasions, it is highly likely that Laura does this almost every day when getting ready for work in the morning.",NA,"high"
"66",21,"2024-06-17_18-52_mixtral_t-0.6_base_few_shot_High_fr","mixtral","base_few_shot",0.6,9,1,"nan",1,"80% of the time",80,"Although we cannot be certain about the exact reason for Bruce's visits to the medical practice, it is likely that he goes there mostly for check-ups and examinations. Hence, I assume that in 80% of his visits, he gets examined by a doctor.",NA,"high"
"67",0,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,1,3,"AI",1,"95% of the time",95,"Paying a cashier is a common occurrence while grocery shopping, and Susan specifically mentioning this detail suggests that it was unexpected. However, there could be rare instances where John doesn't pay for his groceries himself (e.g., if someone else paid), but I would assume these cases are not frequent.",NA,"low"
"68",1,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,1,5,"AI",1,"95% of the time",95,"It is very common for people to pay at a grocery store before leaving with their purchases. The fact that Susan specifically mentioned apples, but not paying, makes me think John did pay and this is his usual behavior when going shopping.",NA,"low"
"69",2,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,11,3,"nan",1,"85% of the time",85,"Skydiving inherently involves jumping from an airplane; it's the core aspect of this activity. Stella mentioning that Jared jumped out of the plane might be emphasizing his participation in a specific jump, but I would still assume he jumps most of the times when attending skydiving courses.",NA,"low"
"70",3,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,11,5,"nan",1,"90% of the time",90,"Skydiving involves jumping from an airplane, so it is likely that Jared partakes in this activity most times he goes skydiving. Stella mentioning that Jared was the first to jump suggests a level of familiarity and comfort with the act itself, which further supports the idea that Jared jumps out of planes frequently during his visits to the skydiving center.",NA,"low"
"71",4,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,12,3,"AI",1,"90% of the time",90,"Writing letters is something people generally do with an intention to send and communicate. Given that Steve mentioned explicitly that Amy mailed the letter she wrote for Michelle, this suggests that Amy usually sends her letters after writing them. The fact that it was emphasized by Steve implies that mailing a letter may be unusual for Amy not to do so.",NA,"low"
"72",5,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,12,5,"AI",1,"85% of the time",85,"Since Steve mentioned that Amy ""wrote"" Michelle a letter and not just ""started to write,"" I assume she has already finished it. Given this information, people usually mail letters they have written, so I would estimate that Amy mails her letters 85% of the time after writing them, as there might be rare instances where she changes her mind or something unexpected happens before sending it out.",NA,"low"
"73",6,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,13,3,"AI",1,"20% of the time",20,"Although it's possible that Adam sometimes likes walking to the bus stop for some exercise or a change of pace, I believe he usually drives directly to the bus stop. The fact that Adam mentioned this detail to Virginia could indicate that taking the bus and walking to the bus stop are not his typical routine.",NA,"low"
"74",7,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,13,5,"AI",1,"30% of the time",30,"Although it is not specified if Adam always takes the bus or sometimes walks, Virginia's comment about him standing on the bus might suggest that he usually has a seat. This implies that the bus may not be too crowded, and therefore, Adam can walk to the stop at a leisurely pace rather than rushing most of the time.",NA,"low"
"75",8,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,14,3,"AI",1,"90% of the time",90,"It is quite common for people to try on clothing while out shopping. The fact that Esther mentioned trying something on suggests that this is a regular part of her shopping experience, and she likely does it most times she goes clothes shopping with friends.",NA,"low"
"76",9,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,14,5,"AI",1,"90% of the time",90,"Even though Esther mentioned trying on clothes during her shopping trip today, it's likely that she does this most times she goes shopping with friends. People typically try things on when they shop for clothing to see how well items fit and look before purchasing them.",NA,"low"
"77",10,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,15,3,"AI",1,"95% of the time",95,"Boiling pasta in water is a standard and common way to prepare pasta. The fact that Clara did not mention any other method or ingredient suggests this was an ordinary occurrence, leading me to believe Nick usually boils pasta in water when making it.",NA,"low"
"78",11,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,15,5,"AI",1,"90% of the time",90,"Based on the context provided, there is no indication that Clara found anything unusual about Nick adding vegetables to his pasta. Therefore, I assume he usually does this and boils pasta in water during most instances when cooking pasta dishes for his roommates.",NA,"low"
"79",12,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,16,3,"AI",1,"95% of the time",95,"Pre-heating an oven is a crucial step in most baking processes, as it ensures that cakes and other baked goods cook evenly. Grace explicitly mentioning this to Kyle suggests that she usually does pre-heat the oven when baking a cake; hence my answer is 95% of the time.",NA,"low"
"80",13,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,16,5,"AI",1,"90% of the time",90,"While it's possible that Grace might sometimes forget to preheat the oven, her mentioning the chocolate chips in the recipe suggests she is an experienced baker who pays attention to details. This leads me to believe that she usually follows proper baking procedures and thus pre-heats the oven 90% of the time when baking a cake.",NA,"low"
"81",14,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,17,3,"AI",1,"95% of the time",95,"It is extremely common for people to take their cell phones onto an airplane as most passengers use them before and after flights. The fact that Greg mentioned it specifically might imply that this is not unusual, so he probably takes his phone on board with him almost every flight.",NA,"low"
"82",15,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,17,5,"AI",1,"95% of the time",95,"Although Greg mentioned flying in business class which may seem unimportant, it doesn't indicate any information about carrying his cell phone. Given that people rely heavily on their phones during travel for communication and entertainment purposes, I would assume he brings it with him most of the time.",NA,"low"
"83",16,"2024-06-18_08-07_mixtral_t-0.6_few_shot_Low_fr","mixtral","few_shot",0.6,18,3,"AI",1,"95% of the time",95,"Given that Sandy typically cuts her own hair and mentioned using scissors to Patrick, it is highly likely she regularly uses them for this purpose. The fact that she specified ""scissors"" might imply she occasionally tries other methods but mostly relies on scissors due to their ease of use at home.",NA,"low"
