"";"model";"prompt_method";"extra";"anno_level1";"anno_level2_1";"anno_level2_2";"n"
"35";"llama3_instruct";"few_shot";"crit";"no_atyp";"normal";NA;2
"36";"llama3_instruct";"few_shot";"crit";"no_atyp";"reinforced-utt";"sk";5
"37";"llama3_instruct";"few_shot";"crit";"no_atyp";"reinforced-utt";NA;2
"38";"llama3_instruct";"few_shot";"crit";"no_atyp";"sk";"normal";4
"39";"llama3_instruct";"few_shot";"crit";"no_atyp";"sk";"reinforced-utt";10
"40";"llama3_instruct";"few_shot";"crit";"no_atyp";"sk";NA;19
"41";"llama3_instruct";"few_shot";"normal";"atyp";"utt_concise";NA;2
"42";"llama3_instruct";"few_shot";"normal";"atyp";"utt_elab";NA;1
"43";"llama3_instruct";"few_shot";"normal";"no_atyp";"normal";"reinforced-utt";2
"44";"llama3_instruct";"few_shot";"normal";"no_atyp";"normal";NA;1
"45";"llama3_instruct";"few_shot";"normal";"no_atyp";"reinforced-utt";"normal";2
"46";"llama3_instruct";"few_shot";"normal";"no_atyp";"reinforced-utt";"sk";15
"47";"llama3_instruct";"few_shot";"normal";"no_atyp";"reinforced-utt";NA;12
"48";"llama3_instruct";"few_shot";"normal";"no_atyp";"sk";"normal";1
"49";"llama3_instruct";"few_shot";"normal";"no_atyp";"sk";"reinforced-utt";3
"50";"llama3_instruct";"few_shot";"normal";"no_atyp";"sk";NA;2
"51";"llama3_instruct";"few_shot";"normal";"unclear";"atyp-reject";NA;1
"52";"llama3_instruct";"few_shot";"normal";"unclear";"other";NA;2
"53";"mixtral";"few_shot";"crit";"atyp";"utt_concise";NA;3
"54";"mixtral";"few_shot";"crit";"atyp";"utt_elab";NA;1
"55";"mixtral";"few_shot";"crit";"no_atyp";"normal";"reinforced-utt";1
"56";"mixtral";"few_shot";"crit";"no_atyp";"normal";NA;3
"57";"mixtral";"few_shot";"crit";"no_atyp";"reinforced-utt";"sk";1
"58";"mixtral";"few_shot";"crit";"no_atyp";"reinforced-utt";NA;4
"59";"mixtral";"few_shot";"crit";"no_atyp";"sk";"reinforced-utt";6
"60";"mixtral";"few_shot";"crit";"no_atyp";"sk";NA;15
"61";"mixtral";"few_shot";"crit";"unclear";"atyp-reject";NA;9
"62";"mixtral";"few_shot";"crit";"unclear";"incorrect-reasoning";NA;1
"63";"mixtral";"few_shot";"normal";"atyp";"utt_concise";NA;1
"64";"mixtral";"few_shot";"normal";"atyp";"utt_elab";NA;5
"65";"mixtral";"few_shot";"normal";"no_atyp";"normal";NA;1
"66";"mixtral";"few_shot";"normal";"no_atyp";"reinforced-utt";"normal";1
"67";"mixtral";"few_shot";"normal";"no_atyp";"reinforced-utt";"sk";1
"68";"mixtral";"few_shot";"normal";"no_atyp";"reinforced-utt";NA;7
"69";"mixtral";"few_shot";"normal";"no_atyp";"sk";"normal";1
"70";"mixtral";"few_shot";"normal";"no_atyp";"sk";"reinforced-utt";7
"71";"mixtral";"few_shot";"normal";"no_atyp";"sk";NA;6
"72";"mixtral";"few_shot";"normal";"unclear";"atyp-reject";NA;12
"73";"mixtral";"few_shot";"normal";"unclear";"other";"incorrect-reasoning";1
"74";"mixtral";"few_shot";"normal";"unclear";"other";NA;1
